"","Respondents","1. Do you give your consent to take part in this study?","2. What is your current age in years?","3. What is your gender?","4. Do you currently live in the UK?","5. What are the first 3 digits of your postcode? (e.g., HU5, YO1).","6. Please click the item that best describes the neighbourhood you live in:","7. Are you a member of an environmental charity or community group? (i.e., RSPB, ""Friends of"" group)","8. Do you participate in any form of nature recording? (e.g., via apps iNaturalist, Seek, Merlin or as an amateur naturalist)","9.1. 1. I always find beauty in nature.","9.2. 2. I always treat nature with respect.","9.3. 3. Being in nature makes me very happy.","9.4. 4. Spending time in nature is very important to me.","9.5. 5. I find being in nature really amazing.","9.6. 6. I feel part of nature.","10. How often do you visit blue spaces?","10.1. Rivers, canals and dykes","10.2. Park lakes","10.3. Coastal areas","10.4. Estuaries","10.5. Marinas","11. Have you heard of the term ""rewilding""?","12.1. Cities should have more blue spaces","12.2. Blue spaces are important for nature","12.3. Blue spaces in the UK are in poor condition","12.4. Blue spaces are important for my health and wellbeing","12.5. We should “rewild” UK blue spaces","13. Do you carry out any of these activities around blue spaces?","14. In three words describe a blue space in your local area","15. In three words describe a ""wild"" blue space in your local area","16. What wildlife have you seen around blue spaces?","17. What types of wildlife would you like to see more of?","18. Would you consider providing a blue space (e.g., large nature pond or mini bucket pond) in your garden, allotment or other available outdoor space?","19. How would you improve blue spaces for people and nature?","Start Date","Completion Date","age_factor","location","gender","10.1. Rivers, canals and dykes_binary","10.2. Park lakes_binary","10.3. Coastal areas_binary","10.4. Estuaries_binary","10.5. Marinas_binary","blue_space_total_frequency","blue_space_mean_frequency","blue_space_num_visited"
"40","Respondent 40","I give consent to take part in this study",21,"Female","Yes","AB24","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","Yes","1","2","2","1","1","1",NA,52,12,52,12,52,"Yes",4,6,6,6,4,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Pond dipping,Rock pooling","calm","n/a","dolphines","?","I would if I had the space","m","2025-04-05 22:02:10 UTC","2025-04-05 22:09:01 UTC","1","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,1,1,1,1,180,36,5
"41","Respondent 41","I give consent to take part in this study",40,"Male","Yes","HU5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","Yes","1","1","1","1","1","2",NA,12,12,12,12,12,"Yes",6,6,6,6,7,"Nature watching,Pond dipping,Rock pooling","Surprising Wildife-Corridor Fragmented","Landscape thriving peaceful","Water Vole, Kingfisher, Stickleback, Egret, frogs, toads, rats","Water Vole, Bittern, Great Crested Newts, Red Kite","I already do","More education in schools and connect our younger generations with wildspaces as much as possible. Create a blue space protected by the people, a peoples place","2025-04-06 07:54:10 UTC","2025-04-06 08:06:29 UTC","2","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Male",1,1,1,1,1,60,12,5
"42","Respondent 42","I give consent to take part in this study",19,"Other","Yes","S25","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","Yes","2","5","2","3","1","5",NA,2,12,52,12,12,"Yes",5,7,6,4,5,"Nature watching","Limited, Poor, Eutrophic","Reeds, Limited, Eutrophic","Birds, Invertebrates and Insects, Squirrels","More diverse, Water Birds, voles, insects","Maybe, I would consider providing a blue space with more information or assistance","Healthier spaces, more protections and maintained, green spaces with blue spaces.","2025-04-06 23:31:09 UTC","2025-04-06 23:46:27 UTC","1","Suburban (i.e., mostly houses, located just outside a city or town)","Other",1,1,1,1,1,90,18,5
"43","Respondent 43","I give consent to take part in this study",53,"Male","Yes","HU16","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","1","2","1","1","1","3",NA,52,2,2,12,0,"Yes",7,7,5,7,7,"Exercise (e.g., walking, kayaking, swimming)","Important interesting alive","Natural biodiversity essential","N/a","All","Maybe, I would consider providing a blue space with more information or assistance","Remove litter, encourage biodiversity","2025-04-07 08:13:38 UTC","2025-04-07 08:18:54 UTC","3","Suburban (i.e., mostly houses, located just outside a city or town)","Male",1,1,1,1,0,68,13.6,4
"44","Respondent 44","I give consent to take part in this study",49,"Male","Yes","hu10","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","1","1","1","1","1","1",NA,12,0,12,52,12,"Yes",7,7,6,7,6,"Exercise (e.g., walking, kayaking, swimming) ,Photography,Feeding wildlife (e.g., ducks, fish),Rock pooling","Hull Marina - it's ace","Spurn point - perfect wilderness","Deer, birds, seals, foxes","beavers! butterflies","No","encourage rewilding urban areas - parks, etc. do more with Anlaby common. reopen drains","2025-04-07 08:21:30 UTC","2025-04-07 08:26:21 UTC","3","Suburban (i.e., mostly houses, located just outside a city or town)","Male",1,0,1,1,1,88,17.6,4
"45","Respondent 45","I give consent to take part in this study",33,"Male","Yes","HU8","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","Yes","3","2","2","2","3","3",NA,52,2,12,12,12,"Yes",5,6,6,5,6,"Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Fishing,Photography","Neglected hidden potential","Beautiful peaceful relaxing","Lots if space is wild","Insects","I already do","Cultivate surrounding area and improve water quality","2025-04-07 18:27:39 UTC","2025-04-07 18:33:58 UTC","2","Suburban (i.e., mostly houses, located just outside a city or town)","Male",1,1,1,1,1,90,18,5
"46","Respondent 46","I give consent to take part in this study",22,"Female","Yes","HG3","Rural (i.e., mostly countryside with few houses or buildings)","Yes","Yes","2","2","3","3","2","1",NA,52,2,1,2,1,"Yes",5,7,6,5,6,"Dog walking,Exercise (e.g., walking, kayaking, swimming)","Otters quiet fishing","Otters quiet fishing","Otters, ducks, herons, newts","Beavers","I would if I had the space","Focus on rewilding the spaces we already have, remove plastic waste. Create viewing areas for people to enjoy the nature","2025-04-08 09:16:50 UTC","2025-04-08 09:21:06 UTC","1","Rural (i.e., mostly countryside with few houses or buildings)","Female",1,1,1,1,1,58,11.6,5
"47","Respondent 47","I give consent to take part in this study",48,"Female","Yes","HU5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","No","3","3","2","2","2","2",NA,1,0,1,12,12,"Yes",6,6,3,7,6,"Nature watching,Exercise (e.g., walking, kayaking, swimming)","Refreshing, relaxing, time-out","None","Birds, fish, trees","No","I would if I had the space","Help clean the areas","2025-04-08 15:20:50 UTC","2025-04-08 15:28:56 UTC","3","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,0,1,1,1,26,5.2,4
"48","Respondent 48","I give consent to take part in this study",31,"Male","Yes","hu1","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","Yes","1","1","1","1","1","1",NA,2,1,2,2,2,"Yes",7,7,6,6,6,"Nature watching,Exercise (e.g., walking, kayaking, swimming)","none around here","non-existant","birds, terrestrial mammals, insects","more native plant species, more butterflies, dragonflies, moths","I already do","make them more accessibleand available to the public","2025-04-08 11:47:59 UTC","2025-04-08 17:51:34 UTC","2","Suburban (i.e., mostly houses, located just outside a city or town)","Male",1,1,1,1,1,9,1.8,5
"49","Respondent 49","I give consent to take part in this study",53,"Female","Yes","NR1","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","Yes","2","1","3","2","2","1",NA,52,1,2,0,0,"Yes",6,7,6,6,5,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Pond dipping","stressed, navigable, tidal","stressed, touristy, managed","all species of riverfly, kingfisher, owl, other birds, deer, otter, badger, now mapping vegetation","indigenous species","I already do","education","2025-04-08 14:25:12 UTC","2025-04-09 07:24:26 UTC","3","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,0,0,55,11,3
"50","Respondent 50","I give consent to take part in this study",61,"Female","Yes","HU3","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","No","1","1","1","1","1","1",NA,52,12,2,52,52,"Yes",7,7,7,7,7,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Photography,Feeding wildlife (e.g., ducks, fish),Pond dipping,Rock pooling","Necessary, beautiful and fascinating","Lively untamed fascinating","Birds, fish, frogs, newts, damselflies, butterflies, bees,","Tiny mammals + bigger ones","I already do","Rewild lord line area & refurbish building as intended plus as a cafe for walkers along the Humber","2025-04-10 06:31:47 UTC","2025-04-10 06:37:24 UTC","4","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,1,1,1,1,170,34,5
"51","Respondent 51","I give consent to take part in this study",32,"Female","Yes","YO2","Rural (i.e., mostly countryside with few houses or buildings)","No","No","2","1","1","3","2","4",NA,2,52,12,2,12,"Yes",6,7,6,4,6,"Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Photography,Feeding wildlife (e.g., ducks, fish)","Ducks calm pretty","Natural healthy habitat","Ducks, insects","Fish, water mammals","Maybe, I would consider providing a blue space with more information or assistance","More paths, benches and bins","2025-04-11 16:49:18 UTC","2025-04-11 16:55:45 UTC","2","Rural (i.e., mostly countryside with few houses or buildings)","Female",1,1,1,1,1,80,16,5
"52","Respondent 52","I give consent to take part in this study",75,"Female","Yes","HY17","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","Yes","1","1","2","1","2","1",NA,12,12,12,2,2,"Yes",6,6,5,6,6,"Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Photography,Rock pooling","Slow-moving stream","Reedy riverside walk","Waterbirds, amphibians, fish, songbirds, insects, spiders, rats, wildflowers, trees like willow","Water Voles, newts, dragonflies","I would if I had the space","Clear and plant wildlife-friendly and water-cleansing wild flowers, green and blue prescribing awareness","2025-04-11 19:08:31 UTC","2025-04-11 19:15:31 UTC","4","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,1,1,1,1,40,8,5
"53","Respondent 53","I give consent to take part in this study",63,"Female","Yes","HU16","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","No","2","1","2","1","2","1",NA,2,1,1,1,0,"Yes",5,6,4,5,5,"Nature watching","Small garden pond","Humber foreshore","Frogs, newts, dragonflies, damselflies, beetles, birds","Newts","I already do","Don't know","2025-04-11 19:22:06 UTC","2025-04-11 19:30:29 UTC","4","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,1,0,5,1,4
"54","Respondent 54","I give consent to take part in this study",67,"Female","Yes","Hu1","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","Yes","1","2","1","1","1","2",NA,12,1,2,12,1,"Yes",7,7,7,7,6,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Rock pooling","Birds peace space","Cress fish voles","Avocets north cave Kingfisher Skerne","More variety at coast, rivers lakes crested newts toads birds","Maybe, I would consider providing a blue space with more information or assistance","Forming partnerships using policies LNRS doing events to get people out train on iNats","2025-04-11 19:22:50 UTC","2025-04-11 19:31:33 UTC","4","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,1,1,28,5.6,5
"55","Respondent 55","I give consent to take part in this study",65,"Female","Yes","HU10","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","Yes","1","1","1","1","4","2",NA,12,12,12,12,1,"Yes",7,7,7,7,7,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Photography","Village Pond ducks","Nature reserve nearby","Ducks gulls frogs","Birds","I already do","Keep them free from litter","2025-04-11 19:51:32 UTC","2025-04-11 19:58:02 UTC","4","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,1,1,49,9.8,5
"56","Respondent 56","I give consent to take part in this study",59,"Female","Yes","YO42","Rural (i.e., mostly countryside with few houses or buildings)","Yes","No","1","1","1","1","1","1",NA,2,2,2,0,0,"Yes",4,7,7,5,6,"Nature watching,Rock pooling","Spring fed beck","Haven’t any","Water shrew","Water vole","No","Enforce better farming practices","2025-04-12 04:12:52 UTC","2025-04-12 04:19:10 UTC","3","Rural (i.e., mostly countryside with few houses or buildings)","Female",1,1,1,0,0,6,1.2,3
"57","Respondent 57","I give consent to take part in this study",59,"Female","Yes","HU5","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","Yes","1","1","2","1","3","3",NA,2,2,2,2,2,"Yes",6,7,6,6,7,"Nature watching,Exercise (e.g., walking, kayaking, swimming)","Disrespected Misused Litter","Accessible Voles Litter","Grey seals, Water voles, Egrets, Moorhens, Brown rats","Otters, Water voles, Beavers, Seals","Maybe, I would consider providing a blue space with more information or assistance","Penalise those who litter and otherwise abuse them. Clean up litter and pollution","2025-04-12 09:29:00 UTC","2025-04-12 10:22:37 UTC","3","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,1,1,10,2,5
"58","Respondent 58","I give consent to take part in this study",50,"Male","Yes","HU5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","Yes","1","1","1","1","1","1",NA,52,2,12,12,1,"Yes",7,7,5,7,5,"Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Fishing,Photography","not managed properly","not managed properly","common species in the main","more of everything particulaly priority species","I already do","Make sure they had proper resourcing to be properly managed","2025-04-12 10:20:32 UTC","2025-04-12 10:25:41 UTC","3","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Male",1,1,1,1,1,79,15.8,5
"59","Respondent 59","I give consent to take part in this study",54,"Male","Yes","Hu5","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","No","1","1","1","1","1","1",NA,2,12,2,2,2,"Yes",1,1,1,1,1,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Photography,Rock pooling","Dirty, ducks, bread.","Relaxing, birds, plants","All sorts, birds, fish, amphibians, reptiles, invertebrates, plants, mammals, lichens","Otters, reptiles, amphibians.","I already do","More bins, less dogs.","2025-04-12 12:19:22 UTC","2025-04-12 12:25:59 UTC","3","Suburban (i.e., mostly houses, located just outside a city or town)","Male",1,1,1,1,1,20,4,5
"60","Respondent 60","I give consent to take part in this study",46,"Female","Yes","YO4","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","No","1","1","1","1","1","1",NA,0,0,0,0,0,"Yes",7,7,7,7,7,"I don't carry out any of these activities","Under appreciated, potential","Wildlife corridor, habitat","Grey wagtail, heron, bullhead, water vole","Otter, water vole, kingfisher","I already do","Stop dumping sewage, reduce runoff from roads and fields","2025-04-12 14:28:48 UTC","2025-04-12 14:37:01 UTC","3","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",0,0,0,0,0,0,0,0
